samplename	publiid
Blyakharchuk_a6	37
Blyakharchuk_a7	37
Blyakharchuk_a8	38
Blyakharchuk_a9	38
Bunting_b1	39
Bunting_b10	39
Bunting_b11	39
Bunting_b2	39
Bunting_b3	39
Bunting_b4	39
Bunting_b5	39
Bunting_b6	39
Bunting_b7	39
Bunting_b8	39
Bunting_b9	39
Champvillair_a1	40
Champvillair_a10	40
Champvillair_a11	40
Champvillair_a12	40
Champvillair_a13	40
Champvillair_a14	40
Champvillair_a15	40
Champvillair_a16	40
Champvillair_a17	40
Champvillair_a18	40
Champvillair_a19	40
Champvillair_a2	40
Champvillair_a20	40
Champvillair_a21	40
Champvillair_a22	40
Champvillair_a23	40
Champvillair_a24	40
Champvillair_a25	40
Champvillair_a26	40
Champvillair_a27	40
Champvillair_a3	40
Champvillair_a4	40
Champvillair_a5	40
Champvillair_a6	40
Champvillair_a7	40
Champvillair_a8	40
Champvillair_a9	40
Colombaroli_a1	41
Colombaroli_a10	41
Colombaroli_a11	41
Colombaroli_a12	41
Colombaroli_a13	41
Colombaroli_a14	41
Colombaroli_a15	41
Colombaroli_a16	41
Colombaroli_a17	41
Colombaroli_a18	41
Colombaroli_a19	41
Colombaroli_a2	41
Colombaroli_a20	41
Colombaroli_a21	41
Colombaroli_a22	41
Colombaroli_a23	41
Colombaroli_a24	41
Colombaroli_a25	41
Colombaroli_a3	41
Colombaroli_a4	41
Colombaroli_a5	41
Colombaroli_a6	41
Colombaroli_a7	41
Colombaroli_a8	41
Colombaroli_a9	41
Connor_a1	42
Connor_a10	42
Connor_a11	42
Connor_a12	42
Connor_a13	42
Connor_a14	42
Connor_a15	42
Connor_a16	42
Connor_a17	43
Connor_a18	43
Connor_a19	43
Connor_a2	42
Connor_a20	43
Connor_a21	43
Connor_a22	43
Connor_a23	43
Connor_a24	43
Connor_a25	43
Connor_a26	43
Connor_a27	43
Connor_a28	43
Connor_a29	43
Connor_a3	42
Connor_a30	43
Connor_a31	43
Connor_a32	43
Connor_a33	43
Connor_a34	43
Connor_a35	43
Connor_a36	43
Connor_a37	43
Connor_a38	43
Connor_a39	43
Connor_a4	42
Connor_a40	43
Connor_a41	43
Connor_a42	43
Connor_a43	43
Connor_a44	43
Connor_a45	43
Connor_a5	42
Connor_a6	42
Connor_a7	42
Connor_a8	42
Connor_a9	42
Connor_b1	44
Connor_b10	44
Connor_b11	44
Connor_b12	44
Connor_b2	44
Connor_b3	44
Connor_b4	44
Connor_b5	44
Connor_b6	44
Connor_b7	44
Connor_b8	44
Connor_b9	44
Connor_c1	45
Connor_d1	46
Connor_e1	47
Connor_e2	47
Dambach_a1	48
Dambach_a10	48
Dambach_a100	48
Dambach_a101	48
Dambach_a102	48
Dambach_a103	48
Dambach_a104	48
Dambach_a105	48
Dambach_a106	48
Dambach_a107	48
Dambach_a108	48
Dambach_a109	48
Dambach_a11	48
Dambach_a110	48
Dambach_a111	48
Dambach_a112	48
Dambach_a113	48
