var_	acc_var_	original_varname	acc_varname	groupid	notes
111		Brassica	Brassicaceae	HERB	NULL
112		Calendula	Calendula	HERB	NULL
113		Capsella-type	Capsella-type	HERB	NULL
114		Centaurea solstitialis-type	Centaurea solstitialis-type	HERB	NULL
115		Chenopodiaceae undifferentiated	Chenopodiaceae undifferentiated	HERB	NULL
116		Coronilla	Coronilla varia	HERB	NULL
117		Daucus-type	Daucus-type	HERB	NULL
118		Echinops	Echinops	HERB	NULL
119		Galium-type	Galium-type	HERB	NULL
120		Helianthemum-type	Helianthemum-type	HERB	NULL
121		Lamium-type	Lamium-type	HERB	NULL
122		Lotus	Lotus-type	HERB	NULL
123		Anthemis-type	Matricaria-type	HERB	NULL
124		Medicago-type	Medicago sativa-type	HERB	NULL
125		Ononis	Ononis	HERB	NULL
126		Polygonum aviculare-type	Polygonum aviculare-type	HERB	NULL
127		Polygonum cognatum-type	Polygonum cognatum-type	HERB	NULL
128		Ranunculus repens-type	Ranunculus repens-type	HERB	NULL
129		Rumex acetosella-type	Rumex acetosella	HERB	NULL
130		Scrophularia/Verbascum-type	Scrophularia/Verbascum-type	HERB	NULL
131		Spergula-type	Spergula-type	HERB	NULL
132		Symphytum-type	Symphytum-type	HERB	NULL
133		Xanthium	Xanthium	HERB	NULL
134		Sparganium/Typha	Sparganium-type	AQUA	NULL
135		Daphne	Daphne	DWAR	NULL
136		Myrtus communis	Myrtus communis	TRSH	NULL
137		Prunus-type	Prunus-type	TRSH	NULL
138		Androsace	Androsace	HERB	NULL
139		Ballota	Ballota	HERB	NULL
140		Carduus-type	Carduus-type	HERB	NULL
141		Echium-type	Echium/Onosma	HERB	NULL
142		Sanguisorba minor	Sanguisorba minor-type	HERB	NULL
143		Sedum-type	Sedum-type	HERB	NULL
144		Solanum dulcamara	Solanum dulcamara	HERB	NULL
145		Torilis-type	Torilis-type	HERB	NULL
146		Tribulus terrestris	Tribulus terrestris	HERB	NULL
147		Indeterminable: unknown	Indeterminable: unknown	INUN	NULL
148		Adiantum	Adiantum capillus-veneris	VACR	NULL
149		Dryopteris	Dryopteris-type	VACR	NULL
150		Apium/Berula	Apium/Berula	HERB	NULL
151		Centaurea cyanus-type	Centaurea cyanus-type	HERB	NULL
152		Filago-type	Filago-type	HERB	NULL
153		Helianthus	Helianthus	HERB	NULL
154		Mercurialis annua	Mercurialis annua	HERB	NULL
155		Rhinanthus-type	Rhinanthus-type	HERB	NULL
156		Scabiosa-type	Scabiosa-type	HERB	NULL
157		Veronica-type	Veronica-type	HERB	NULL
158		Berberis	Berberis	TRSH	NULL
159		Crataegus-type	Crataegus-type	TRSH	NULL
160		Ephedra	Ephedra	TRSH	NULL
161		Thymus/Mentha-type	Thymus/Mentha-type	DWAR	NULL
162		Astragalus-type	Astragalus-type	HERB	NULL
163		Digitalis-type	Digitalis-type	HERB	NULL
164		Vitis vinifera	Vitis vinifera	LIAN	NULL
165		Herniaria/Paronychia	Herniaria/Paronychia	HERB	NULL
166		Typha latifolia	Typha latifolia	HELO	NULL
167		Papaver	Papaver	HERB	NULL
168		Alisma	Alisma	AQUA	NULL
169		Myriophyllum spicatum	Myriophyllum spicatum	AQUA	NULL
170		Potamogeton	Potamogeton-type	AQUA	NULL
171		Cheilanthes	Cheilanthes	VACR	NULL
172		Bupleurum-type	Apiaceae	HERB	NULL
173		Geranium	Geranium	HERB	NULL
174		Cuscuta	Cuscuta	HERB	NULL
175		Liliaceae undifferentiated	Liliaceae undifferentiated	HERB	NULL
176		Valerianella	Valerianella	HERB	NULL
177		Andrachne telephioides	Andrachne telephioides	DWAR	NULL
178		Adonis	Adonis	HERB	NULL
179		Echinophora-type	Echinophora-type	HERB	NULL
180		Cannabis/Humulus	Humulus/Cannabis	HERB	NULL
181		Acantholimon	Acantholimon	HERB	NULL
182		Onobrychis-type	Onobrychis-type	HERB	NULL
183		Elaeagnus angustifolia	Elaeagnus angustifolia	TRSH	NULL
184		Lonicera	Lonicera	TRSH	NULL
185		Heracleum	Heracleum	HERB	NULL
186		Malva-type	Malvaceae	HERB	NULL
187		Pulmonaria-type	Pulmonaria-type	HERB	NULL
188		Atraphaxis	Atraphaxis	TRSH	NULL
189		Teucrium-type	Teucrium	HERB	NULL
190		Castanea sativa	Castanea sativa	TRSH	NULL
191		Nonea	Nonea	HERB	NULL
192		Onopordum-type	Onopordum-type	HERB	NULL
193		Rhamnus	Rhamnus-type	TRSH	NULL
194		Gentianella	Gentianella	HERB	NULL
195		Globularia	Globularia	HERB	NULL
196		Orlaya	Orlaya	HERB	NULL
197		Menyanthes trifoliata	Menyanthes trifoliata	AQUA	NULL
198		Potentilla	Potentilla-type	HERB	NULL
199		Salvia-type	Salvia-type	HERB	NULL
200		Pteridium	Pteridium	VACR	NULL
201		Hedera	Hedera	TRSH	NULL
202		Boraginaceae undifferentiated	Boraginaceae undifferentiated	HERB	NULL
203		Myosotis-type	Myosotis-type	HERB	NULL
204		Hibiscus	Hibiscus	TRSH	NULL
205		Plantago major	Plantago major	HERB	NULL
206		Centranthus	Centranthus	HERB	NULL
207		Doronicum-type	Doronicum-type	HERB	NULL
208		Butomus umbellatus	Butomus umbellatus	HELO	NULL
209		Lythrum	Lythrum	HERB	NULL
210		Nigella	Nigella	HERB	NULL
211		Ranunculus arvensis	Ranunculus arvensis	HERB	NULL
212		Polygonum amphibium	Persicaria amphibia	AQUA	NULL
213		Botrychium	Botrychium	VACR	NULL
214		Pteris	Pteris	VACR	NULL
215		Linum	Linum	HERB	NULL
216		Scandix	Scandix	HERB	NULL
217		Genista-type	Genista-type	TRSH	NULL
218		Hippophae	Hippophae rhamnoides	TRSH	NULL
219		Campanula-type	Phyteuma-type	HERB	NULL
220		Polygala	Polygala	HERB	NULL
221		Reseda	Reseda	HERB	NULL
222		Sideritis	Sideritis	HERB	NULL
223		Ericaceae undifferentiated	Ericales (tetrad)	DWAR	NULL
224		Valeriana	Valeriana	HERB	NULL
225		Viola	Viola	HERB	NULL
226		Cornus	Cornus	TRSH	NULL
227		Pinus haploxylon	Pinus haploxylon	TRSH	NULL
228		Pinus diploxylon	Pinus sylvestris-type	TRSH	NULL
229		Umbelliferae	Apiaceae	HERB	NULL
230		Artemisia-type	Artemisia-type	HERB	NULL
231		Cruciferae	Brassicaceae	HERB	NULL
232		Compositae subfam. Asteroideae	Compositae subfam. Asteroideae	HERB	NULL
233		Taraxacum-type	Crepis-type	HERB	NULL
234		Knautia-type	Knautia-type	HERB	NULL
235		Labiatae	Lamiaceae	HERB	NULL
236		Leguminosae	Leguminosae	HERB	NULL
237		Gramineae	Poaceae	HERB	NULL
238		Triticum-type	Triticum-type	HERB	NULL
239		Calluna	Calluna	DWAR	NULL
240		Olea	Olea europaea	TRSH	NULL
241		Quercus evergreen	Quercus ilex-type	TRSH	NULL
242		Quercus deciduous	Quercus robur-type	TRSH	NULL
243		Cerealia undifferentiated	Cerealia-type	HERB	NULL
244		Compositae subfam. Asteroideae undifferentiated	Compositae subfam. Asteroideae undifferentiated	HERB	NULL
245		Compositae subfam. Cichorioideae undifferentiated	Compositae subfam. Cichorioideae undifferentiated	HERB	NULL
246		Polygonum	Polygonum-type (tricolporate)	HERB	NULL
247		Casuarina	Casuarina	TRSH	NULL
248		Cedrus atlantica	Cedrus	TRSH	NULL
249		Cupressaceae	Cupressaceae undiff.	TRSH	NULL
250		Ephedra fragilis-type	Ephedra fragilis-type	TRSH	NULL
251		Erica	Erica	DWAR	NULL
252		Genista/Ulex	Genista/Ulex	TRSH	NULL
253		Quercus suber	Quercus cerris-type	TRSH	NULL
254		Quercus ilex-type	Quercus ilex-type	TRSH	NULL
255		Rhamnaceae	Rhamnaceae	TRSH	NULL
256		Asphodelus albus	Asphodelus albus	HERB	NULL
257		Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	NULL
258		Labiatae (6)	Labiatae (6)	HERB	NULL
259		Liliaceae	Liliaceae-type	HERB	NULL
260		Mercurialis	Mercurialis	HERB	NULL
261		Paronychia	Paronychia	HERB	NULL
262		Campanula	Phyteuma-type	HERB	NULL
263		Plantago albicans	Plantago albicans	HERB	NULL
264		Plantago coronopus	Plantago coronopus-type	HERB	NULL
265		Plantago lanceolata-type	Plantago lanceolata-type	HERB	NULL
266		Sparganium-type	Sparganium-type	AQUA	NULL
267		Myrtaceae	Myrtaceae	TRSH	NULL
268		Anagallis	Anagallis	HERB	NULL
269		Centaurea nigra-type	Centaurea nigra-type	HERB	NULL
270		Convolvulus arvensis	Convolvulus arvensis-type	HERB	NULL
271		Eryngium-type	Eryngium-type	HERB	NULL
272		Fumaria	Fumaria	HERB	NULL
273		Papaveraceae	Papaveraceae	HERB	NULL
274		Plantago major/P. media	Plantago major/P. media	HERB	NULL
275		Monolete spore(s)	Monolete spore(s)	VACR	NULL
276		Argania spinosa	Argania spinosa	TRSH	NULL
277		Plantago psyllium-type	Plantago psyllium-type	HERB	NULL
278		Polycarpon	Polycarpon	HERB	NULL
279		Polygala-type	Polygala-type	HERB	NULL
280		Carex	Carex	HELO	NULL
281		Varia	Indeterminable: unknown	INUN	NULL
282		Cistus salvifolius	Cistus salvifolius	TRSH	NULL
283		Oleaceae	Oleaceae	TRSH	NULL
284		Zygophyllaceae	Zygophyllaceae	TRSH	NULL
285		Geraniaceae	Geraniaceae	HERB	NULL
286		Limonium	Limonium	HERB	NULL
287		Solanaceae	Solanaceae	HERB	NULL
288		Spergularia	Spergularia-type	HERB	NULL
289		Equisetum	Equisetum	VACR	NULL
290		Ceratonia siliqua	Ceratonia siliqua	TRSH	NULL
291		Asphodelus fistulosus-type	Asphodelus fistulosus-type	HERB	NULL
292		Armeria	Armeria-type	HERB	NULL
293		Thymelaeaceae	Thymelaeaceae	TRSH	NULL
294		cf. Arbutus	cf. Arbutus	INUN	NULL
295		Boraginaceae	Boraginaceae	HERB	NULL
296		Cistaceae	Cistaceae	HERB	NULL
297		Malva	Malvaceae	HERB	NULL
298		Polygonum bistorta-type	Polygonum bistorta-type	HERB	NULL
299		Urticaceae	Urticaceae	HERB	NULL
300		Cistus populifolius-type	Cistus populifolius-type	HERB	NULL
301		Eryngium ilicifolium	Eryngium ilicifolium	HERB	NULL
302		Cistus undifferentiated	Cistus undifferentiated	HERB	NULL
303		Carpinus	Carpinus betulus	TRSH	NULL
304		Dipsacaceae	Dipsacaceae	HERB	NULL
305		Plantago	Plantago	HERB	NULL
306		Erica scoparia-type	Erica scoparia-type	DWAR	NULL
307		Viburnum-type	Viburnum-type	TRSH	NULL
308		Polygonum-type	Polygonum-type	HERB	NULL
309		Isoetes	Isoetes	AQPT	NULL
310		Indeterminable: broken	Indeterminable: broken	INUN	NULL
311		Rhus	Rhus	TRSH	NULL
312		Echium	Echium	HERB	NULL
313		Polypodium	Polypodium	VACR	NULL
314		Labiatae (3)	Labiatae (3)	HERB	NULL
315		Grammitis	Grammitis	VACR	NULL
316		Lycopodium	Lycopodium	VACR	NULL
317		Selaginella	Selaginella	VACR	NULL
318		Sphagnum	Sphagnum	NOPO	NULL
319		Trilete spore(s)	Trilete spore(s)	VACR	NULL
320		Zizyphus lotus	Zizyphus lotus	TRSH	NULL
321		Littorella uniflora	Littorella uniflora	AQUA	NULL
322		Cistus villosus-type	Cistus villosus-type	HERB	NULL
323		Valerianaceae	Valerianaceae	HERB	NULL
324		Acacia	Acacia	TRSH	NULL
325		Amaryllidaceae	Liliaceae-type	HERB	NULL
326		Carlina-type	Saussurea-type	HERB	NULL
327		Corrigiola	Corrigiola	HERB	NULL
328		Primulaceae	Primulaceae	HERB	NULL
329		Asplenium	Asplenium-type	VACR	NULL
330		Cannabaceae	Cannabaceae	HERB	NULL
331		Periploca	Periploca	TRSH	NULL
332		Erodium	Erodium	HERB	NULL
333		Hedera helix	Hedera helix	LIAN	NULL
334		Centaurium maritimum	Centaurium maritimum	HERB	NULL
335		Lythraceae	Lythrum	HERB	NULL
336		Halimium	Halimium	HERB	NULL
337		Lithospermum	Lithospermum officinale	HERB	NULL
338		Indeterminable: undifferentiated	Indeterminable: undifferentiated	INUN	NULL
339		Fabaceae	Fabaceae	HERB	NULL
340		Abies maroccana	Abies maroccana	TRSH	NULL
341		Lygeum spartum	Lygeum spartum	HERB	NULL
342		Indeterminable: corroded	Indeterminable: corroded	INUN	NULL
343		Lonicera implexa	Lonicera implexa	HERB	NULL
344		Buxus	Buxus	TRSH	NULL
345		cf. Saxifraga stellaris	cf. Saxifraga stellaris	INUN	NULL
346		Jasminum	Jasminum	TRSH	NULL
347		Cannabaceae-type	Cannabaceae-type	HERB	NULL
348		Saxifragaceae	Saxifragaceae	HERB	NULL
349		Castanea	Castanea sativa	TRSH	NULL
350		Pulmonaria	Anchusa/Pulmonaria	HERB	NULL
351		Rutaceae	Rutaceae	TRSH	NULL
352		Dryopteris-type	Dryopteris-type	VACR	NULL
353		Ilex aquifolium	Ilex	TRSH	NULL
354		Arceuthobium oxycedri	Arceuthobium oxycedri	TRSH	NULL
355		Ostrya	Ostrya/Carpinus orientalis	TRSH	NULL
356		Caprifoliaceae	Caprifoliaceae	TRSH	NULL
357		Asclepiadaceae	Asclepiadaceae	INUN	NULL
358		Tribulus	Tribulus terrestris	HERB	NULL
359		Capparis spinosa	Capparis spinosa	TRSH	NULL
360		Calligonum	Calligonum	TRSH	NULL
361		Indeterminable: degraded	Indeterminable: degraded	INUN	NULL
362		Gentianaceae	Gentianaceae	HERB	NULL
363		Tamarix	Tamarix	TRSH	NULL
364		Larix	Larix/Pseudotsuga	TRSH	NULL
365		Fraxinus excelsior	Fraxinus excelsior-type	TRSH	NULL
366		Juniperus-type	Juniperus-type	TRSH	NULL
367		Quercus pubescens-type	Quercus robur-type	TRSH	NULL
368		Bidens-type	Bidens-type	HERB	NULL
369		Hordeum-type	Hordeum-type	HERB	NULL
370		Plantago undifferentiated	Plantago	HERB	NULL
371		Rumex acetosa	Rumex acetosa-type	HERB	NULL
372		Sinapis-type	Sinapis-type	HERB	NULL
373		Myriophyllum alterniflorum	Myriophyllum alterniflorum	AQUA	NULL
374		Potamogeton sect. Eupotamogeton	Potamogeton sect. Eupotamogeton	AQUA	NULL
375		Filicopsida undifferentiated	Filicopsida undifferentiated	VACR	NULL
376		Secale	Cerealia-type	HERB	NULL
377		Rumex acetosella	Rumex acetosella	HERB	NULL
378		Arctostaphylos uva-ursi	Arctostaphylos uva-ursi	DWAR	NULL
379		Artemisia vulgaris-type	Artemisia vulgaris-type	HERB	NULL
380		Labiatae undifferentiated	Labiatae undifferentiated	HERB	NULL
381		Lemna	Lemna	AQUA	NULL
382		Compositae	Asteraceae	HERB	NULL
383		Galium	Galium	HERB	NULL
384		Sanguisorba	Sanguisorba officinalis	HERB	NULL
385		Myriophyllum verticillatum	Myriophyllum verticillatum	AQUA	NULL
386		Iris	Iris	HERB	NULL
387		Oxyria	Oxyria digyna	HERB	NULL
388		Typha angustifolia	Sparganium-type	AQUA	NULL
389		Nuphar	Nuphar	AQUA	NULL
390		Serratula-type	Serratula-type	HERB	NULL
391		Unknown spore(s)	Unknown spore(s)	INUN	NULL
392		Bilderdykia convolvulus-type	Bilderdykia convolvulus-type	HERB	NULL
393		Potamogeton undifferentiated	Potamogeton undifferentiated	AQUA	NULL
394		Rumex undifferentiated	Rumex undifferentiated	HERB	NULL
395		Ephedra fragilis	Ephedra	TRSH	NULL
396		Quercus ilex	Quercus ilex-type	TRSH	NULL
397		Anthemis	Anthemis	HERB	NULL
398		Liguliflorae	Asteraceae subf. Cichorioideae	HERB	NULL
399		Cistus-type	Cistus-type	HERB	NULL
400		Gramineae <40 _m	Gramineae <40 _m	HERB	NULL
401		Carpinus-type	Carpinus-type	TRSH	NULL
402		Isoetes echinospora	Isoetes echinospora	AQPT	NULL
403		Sparganium	Potamogeton-type	AQUA	NULL
404		Erica lusitanica-type	Erica lusitanica-type	TRSH	NULL
405		Eucalyptus	Eucalyptus	TRSH	NULL
406		Gramineae 40-50 _m	Gramineae 40-50 _m	HERB	NULL
407		Gramineae 50-60 _m	Gramineae 50-60 _m	HERB	NULL
408		Filicales	Monolete fern spores	VACR	NULL
409		Erica undifferentiated	Erica undifferentiated	DWAR	NULL
410		Ligustrum	Ligustrum	TRSH	NULL
411		Pinus pinaster-type	Pinus pinaster-type	TRSH	NULL
412		Pinus sylvestris-type	Pinus sylvestris-type	TRSH	NULL
413		Quercus robur-type	Quercus robur-type	TRSH	NULL
414		Sanguisorba-type	Sanguisorba-type	HERB	NULL
415		Pinus pinaster	Pinus pinaster	TRSH	NULL
416		Ericales	Ericales (tetrad)	DWAR	NULL
417		Taxus	Taxus baccata	TRSH	NULL
418		Rubus chamaemorus	Rubus chamaemorus	HERB	NULL
419		Trifolium	Trifolium-type	HERB	NULL
420		Monolete spore(s) undifferentiated	Monolete spore(s) undifferentiated	VACR	NULL
421		Trilete spore(s) undifferentiated	Trilete spore(s) undifferentiated	VACR	NULL
422		Coryloid-type	Coryloid-type	TRSH	NULL
423		Plantago lusitanica	Plantago lusitanica	HERB	NULL
424		Potentilla-type	Potentilla-type	HERB	NULL
425		Utricularia-type	Utricularia-type	HERB	NULL
426		Calluna vulgaris	Calluna vulgaris	TRSH	NULL
427		Allium-type	Allium-type	HERB	NULL
428		Rumex acetosa-type	Rumex acetosa-type	HERB	NULL
429		Rumex acetosa/R. acetosella-type	Rumex acetosa/R. acetosella-type	HERB	NULL
430		Erica cinerea	Erica cinerea	DWAR	NULL
431		Rhamnus-type	Rhamnus-type	TRSH	NULL
432		Campanulaceae	Campanulaceae	HERB	NULL
433		Centaurea jacea	Centaurea	HERB	NULL
434		Zea mays	Zea mays	HERB	NULL
435		Ilex	Ilex	TRSH	NULL
436		Lotus-type	Lotus-type	HERB	NULL
437		Plantago media-type	Plantago media-type	HERB	NULL
438		cf. Ephedra fragilis	cf. Ephedra fragilis	INUN	NULL
439		Thelypteris-type	Thelypteris-type	VACR	NULL
440		Plantago major-type	Plantago major	HERB	NULL
441		Saxifraga	Saxifraga	HERB	NULL
442		Pinus undifferentiated	Pinus	TRSH	NULL
443		Iridaceae	Liliaceae-type	HERB	NULL
444		Polygonaceae	Polygonaceae	HERB	NULL
445		Cedrus	Cedrus	TRSH	NULL
446		Platanus	Platanus	TRSH	NULL
447		Brassica-type	Brassica-type	HERB	NULL
448		Delphinium-type	Delphinium-type	HERB	NULL
449		Lilium	Lilium	HERB	NULL
450		Tubuliflorae	Asteraceae subf. Asteroideae	HERB	NULL
451		Monolete fern spores	Monolete fern spores	VACR	NULL
452		Zea	Zea mays	HERB	NULL
453		Myrtus	Myrtus communis	TRSH	NULL
454		Myrica	Myrica	TRSH	NULL
455		Quercus total	Quercus total	TRSH	NULL
456		Gentiana	Gentiana	HERB	NULL
457		Filicales monolete	Monolete fern spores	VACR	NULL
458		Ostrya/Carpinus	Ostrya/Carpinus orientalis	TRSH	NULL
459		Gramineae >50 _m	Gramineae >50 _m	HERB	NULL
460		Gramineae >60 _m	Gramineae >60 _m	HERB	NULL
461		Ruppia	Ruppia	AQUA	NULL
462		Alnus-type	Alnus-type	TRSH	NULL
463		Olea-type	Olea-type	TRSH	NULL
464		Pinus-type	Pinus-type	TRSH	NULL
465		Quercus suber-type	Quercus cerris-type	TRSH	NULL
466		Gramineae undifferentiated	Gramineae undifferentiated	HERB	NULL
467		Plantago coronopus-type	Plantago coronopus-type	HERB	NULL
468		Cyperaceae undifferentiated	Cyperaceae undifferentiated	AQUA	NULL
469		Corylus-type	Corylus-type	TRSH	NULL
470		Phillyrea-type	Phillyrea-type	TRSH	NULL
471		Apiaceae undifferentiated	Apiaceae	HERB	NULL
472		Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB	NULL
473		Brassicaceae undifferentiated	Brassicaceae undifferentiated	HERB	NULL
474		Caryophyllaceae undifferentiated	Caryophyllaceae undifferentiated	HERB	NULL
475		Ephedra distachya-type	Ephedra distachya-type	TRSH	NULL
476		Fraxinus angustifolia-type	Fraxinus angustifolia-type	TRSH	NULL
477		Polygonum persicaria-type	Persicaria maculosa-type	HERB	NULL
478		Rumex-type	Rumex-type	HERB	NULL
479		Pistacia-type	Pistacia-type	TRSH	NULL
480		Betula-type	Betula	TRSH	NULL
481		Frangula	Frangula alnus	TRSH	NULL
482		Juncaceae	Juncaceae	HERB	NULL
483		Betula nana	Betula nana-type	DWAR	NULL
484		Pinus diploxylon-type	Pinus sylvestris-type	TRSH	NULL
485		Rubus	Rubus	TRSH	NULL
486		Sorbus	Sorbus-type	TRSH	NULL
487		Anemone	Anemone nemorosa-type	HERB	NULL
488		Filicopsida monolete undifferentiated	Filicopsida monolete undifferentiated	VACR	NULL
489		Selaginella selaginoides	Selaginella selaginoides	VACR	NULL
490		Frangula alnus	Frangula alnus	TRSH	NULL
491		Melampyrum	Melampyrum	HERB	NULL
492		Filicopsida trilete undifferentiated	Filicopsida trilete undifferentiated	VACR	NULL
493		Euphrasia-type	Euphrasia-type	HERB	NULL
494		Tsuga	Tsuga	TRSH	NULL
495		Violaceae	Viola	HERB	NULL
496		Dryas octopetala	Dryas octopetala	HERB	NULL
497		Ambrosia	Ambrosia	HERB	NULL
498		Carduus	Carduus-type	HERB	NULL
499		Prunus	Prunus-type	TRSH	NULL
500		Corylus/Myrica	Corylus/Myrica	TRSH	NULL
501		Saxifraga oppositifolia	Saxifraga oppositifolia-type	HERB	NULL
502		Lycopodium cf. L. annotinum	Lycopodium cf. L. annotinum	VACR	NULL
503		Crataegus	Crataegus	TRSH	NULL
504		Erica arborea	Erica arborea	DWAR	NULL
505		Asphodelus	Asphodelus	HERB	NULL
506		Chenopodium	Chenopodium	HERB	NULL
507		Isoetes histrix	Isoetes histrix	AQUA	NULL
