samplename	var_	count
Bakker_a15	32	4
Bakker_a15	80	1
Bakker_a15	68	1
Bakker_a15	78	2
Bakker_a15	76	2
Bakker_a15	70	43
Bakker_a16	3	12
Bakker_a16	71	6
Bakker_a16	5	2
Bakker_a16	82	2
Bakker_a16	72	6
Bakker_a16	57	28
Bakker_a16	58	6
Bakker_a16	73	2
Bakker_a16	11	34
Bakker_a16	59	38
Bakker_a16	87	6
Bakker_a16	53	4
Bakker_a16	44	10
Bakker_a16	15	20
Bakker_a16	61	6
Bakker_a16	62	98
Bakker_a16	17	42
Bakker_a16	63	44
Bakker_a16	64	4
Bakker_a16	19	130
Bakker_a16	83	8
Bakker_a16	75	2
Bakker_a16	23	12
Bakker_a16	32	2
Bakker_a16	45	2
Bakker_a16	70	74
Bakker_a2	2	8
Bakker_a2	5	4
Bakker_a2	82	8
Bakker_a2	72	6
Bakker_a2	57	4
Bakker_a2	11	4
Bakker_a2	59	154
Bakker_a2	53	4
Bakker_a2	36	2
Bakker_a2	15	28
Bakker_a2	60	24
Bakker_a2	61	18
Bakker_a2	62	48
Bakker_a2	17	38
Bakker_a2	63	10
Bakker_a2	88	6
Bakker_a2	64	24
Bakker_a2	19	104
Bakker_a2	23	46
Bakker_a2	78	2
Bakker_a2	76	6
Bakker_a2	70	28
Bakker_a3	34	2
Bakker_a3	3	1
Bakker_a3	5	4
Bakker_a3	6	2
Bakker_a3	72	4
Bakker_a3	57	6
Bakker_a3	58	1
Bakker_a3	86	1
Bakker_a3	11	37
Bakker_a3	59	8
Bakker_a3	15	21
Bakker_a3	61	2
Bakker_a3	62	195
Bakker_a3	17	3
Bakker_a3	63	30
Bakker_a3	19	29
Bakker_a3	83	1
Bakker_a3	23	7
Bakker_a3	78	4
Bakker_a3	76	14
Bakker_a3	70	8
Bakker_a4	3	10
Bakker_a4	57	28
Bakker_a4	11	16
Bakker_a4	59	12
Bakker_a4	15	2
Bakker_a4	61	2
Bakker_a4	62	66
Bakker_a4	17	2
Bakker_a4	63	4
Bakker_a4	23	10
Bakker_a4	76	24
Bakker_a4	70	40
Bakker_a5	2	8
Bakker_a5	72	60
Bakker_a5	11	80
Bakker_a5	92	4
Bakker_a5	59	82
Bakker_a5	15	8
Bakker_a5	60	2
Bakker_a5	61	28
Bakker_a5	62	210
Bakker_a5	17	2
Bakker_a5	63	2
Bakker_a5	64	4
Bakker_a5	19	12
Bakker_a5	83	4
Bakker_a5	75	2
Bakker_a5	23	12
Bakker_a5	32	2
Bakker_a5	70	26
Bakker_a6	55	2
Bakker_a6	2	1
Bakker_a6	71	7
Bakker_a6	5	1
Bakker_a6	82	1
Bakker_a6	57	3
Bakker_a6	58	3
Bakker_a6	11	142
Bakker_a6	59	224
Bakker_a6	87	2
Bakker_a6	15	9
Bakker_a6	60	3
Bakker_a6	61	3
Bakker_a6	62	38
Bakker_a6	17	9
Bakker_a6	64	10
Bakker_a6	19	18
Bakker_a6	77	1
Bakker_a6	74	1
Bakker_a6	75	3
Bakker_a6	23	8
Bakker_a6	32	1
Bakker_a6	68	1
Bakker_a6	78	1
Bakker_a6	81	1
Bakker_a6	70	17
Bakker_a7	71	2
Bakker_a7	5	2
Bakker_a7	72	2
Bakker_a7	57	40
Bakker_a7	11	20
Bakker_a7	92	2
Bakker_a7	59	66
Bakker_a7	15	2
Bakker_a7	60	2
Bakker_a7	61	2
Bakker_a7	62	24
Bakker_a7	17	14
Bakker_a7	64	4
Bakker_a7	19	24
Bakker_a7	21	60
Bakker_a7	77	4
Bakker_a7	75	12
Bakker_a7	23	8
Bakker_a7	76	2
Bakker_a7	70	10
Bakker_a8	3	2
Bakker_a8	71	24
Bakker_a8	57	20
Bakker_a8	11	118
Bakker_a8	59	94
Bakker_a8	15	2
Bakker_a8	60	2
Bakker_a8	62	14
Bakker_a8	17	16
Bakker_a8	63	6
Bakker_a8	64	2
Bakker_a8	19	10
Bakker_a8	22	2
Bakker_a8	83	2
Bakker_a8	75	2
Bakker_a8	66	2
Bakker_a8	32	2
Bakker_a8	78	4
Bakker_a8	97	4
Bakker_a8	70	36
Bakker_a9	2	2
Bakker_a9	34	2
Bakker_a9	3	2
Bakker_a9	91	1
Bakker_a9	5	1
Bakker_a9	6	1
Bakker_a9	82	1
Bakker_a9	72	1
Bakker_a9	57	15
Bakker_a9	11	35
Bakker_a9	92	1
Bakker_a9	59	25
Bakker_a9	53	1
Bakker_a9	44	2
Bakker_a9	15	12
Bakker_a9	60	2
Bakker_a9	61	36
Bakker_a9	62	222
Bakker_a9	17	3
Bakker_a9	63	4
Bakker_a9	64	16
Bakker_a9	19	31
Bakker_a9	21	1
Bakker_a9	65	1
Bakker_a9	93	4
Bakker_a9	74	1
Bakker_a9	23	8
Bakker_a9	68	2
Bakker_a9	76	4
Bakker_a9	69	1
Bakker_a9	70	41
