samplename	workerid	workerrole
Barboni_a1390	3	R
Barboni_a1390	178	
Barboni_a1391	3	R
Barboni_a1391	178	
Barboni_a1392	3	R
Barboni_a1392	178	
Barboni_a1393	3	R
Barboni_a1393	178	
Barboni_a1394	3	R
Barboni_a1394	178	
Barboni_a1395	3	R
Barboni_a1395	178	
Barboni_a1396	3	R
Barboni_a1396	178	
Barboni_a1397	3	R
Barboni_a1397	178	
Barboni_a1398	3	R
Barboni_a1398	178	
Barboni_a1399	3	R
Barboni_a1399	178	
Barboni_a14	3	R
Barboni_a14	185	
Barboni_a140	3	R
Barboni_a1400	3	R
Barboni_a1400	178	
Barboni_a1401	3	R
Barboni_a1401	178	
Barboni_a1402	3	R
Barboni_a1402	178	
Barboni_a1403	3	R
Barboni_a1403	178	
Barboni_a1404	3	R
Barboni_a1404	179	
Barboni_a1405	3	R
Barboni_a1405	182	
Barboni_a1406	3	R
Barboni_a1406	182	
Barboni_a1407	3	R
Barboni_a1407	182	
Barboni_a1408	3	R
Barboni_a1408	182	
Barboni_a1409	3	R
Barboni_a1409	182	
Barboni_a141	3	R
Barboni_a1410	3	R
Barboni_a1410	182	
Barboni_a1411	3	R
Barboni_a1411	182	
Barboni_a1412	3	R
Barboni_a1412	182	
Barboni_a1413	3	R
Barboni_a1413	182	
Barboni_a1414	3	R
Barboni_a1414	182	
Barboni_a1415	3	R
Barboni_a1415	182	
Barboni_a1416	3	R
Barboni_a1416	182	
Barboni_a1417	3	R
Barboni_a1417	182	
Barboni_a1418	3	R
Barboni_a1418	182	
Barboni_a1419	3	R
Barboni_a1419	182	
Barboni_a142	3	R
Barboni_a1420	3	R
Barboni_a1420	182	
Barboni_a1421	3	R
Barboni_a1421	182	
Barboni_a1422	3	R
Barboni_a1422	182	
Barboni_a1423	3	R
Barboni_a1423	182	
Barboni_a1424	3	R
Barboni_a1424	182	
Barboni_a1425	3	R
Barboni_a1425	182	
Barboni_a1426	3	R
Barboni_a1426	182	
Barboni_a1427	3	R
Barboni_a1427	182	
Barboni_a1428	3	R
Barboni_a1428	182	
Barboni_a1429	3	R
Barboni_a1429	182	
Barboni_a143	3	R
Barboni_a1430	3	R
Barboni_a1430	182	
Barboni_a1431	3	R
Barboni_a1431	182	
Barboni_a1432	3	R
Barboni_a1432	182	
Barboni_a1433	3	R
Barboni_a1433	182	
Barboni_a1434	3	R
Barboni_a1434	182	
Barboni_a1435	3	R
Barboni_a1435	182	
Barboni_a1436	3	R
Barboni_a1436	182	
Barboni_a1437	3	R
Barboni_a1437	182	
Barboni_a1438	3	R
Barboni_a1438	182	
Barboni_a1439	3	R
Barboni_a1439	182	
Barboni_a144	3	R
Barboni_a1440	3	R
Barboni_a1440	182	
Barboni_a1441	3	R
Barboni_a1441	182	
Barboni_a1442	3	R
Barboni_a1442	182	
Barboni_a1443	3	R
Barboni_a1443	188	
Barboni_a1444	3	R
Barboni_a1444	48	
Barboni_a1445	3	R
Barboni_a1445	179	
Barboni_a1446	3	R
Barboni_a1446	179	
Barboni_a1447	3	R
Barboni_a1447	179	
Barboni_a1448	3	R
Barboni_a1448	179	
Barboni_a1449	3	R
Barboni_a1449	179	
Barboni_a145	3	R
Barboni_a1450	3	R
Barboni_a1450	179	
Barboni_a1451	3	R
Barboni_a1451	189	
Barboni_a1452	3	R
Barboni_a1452	179	
Barboni_a1453	3	R
Barboni_a1454	3	R
Barboni_a1455	3	R
Barboni_a1455	179	
Barboni_a1456	3	R
Barboni_a1456	186	
Barboni_a1457	3	R
Barboni_a1457	186	
Barboni_a1458	3	R
Barboni_a1458	178	
Barboni_a1459	3	R
Barboni_a1459	178	
Barboni_a146	3	R
Barboni_a1460	3	R
Barboni_a1460	178	
Barboni_a1461	3	R
Barboni_a1461	178	
Barboni_a1462	3	R
Barboni_a1462	178	
Barboni_a1463	3	R
Barboni_a1463	178	
Barboni_a1464	3	R
Barboni_a1464	178	
Barboni_a1465	3	R
Barboni_a1465	178	
Barboni_a147	3	R
Barboni_a148	3	R
Barboni_a149	3	R
Barboni_a15	3	R
Barboni_a15	185	
Barboni_a150	3	R
Barboni_a151	3	R
Barboni_a152	3	R
Barboni_a153	3	R
Barboni_a154	3	R
Barboni_a155	3	R
Barboni_a156	3	R
Barboni_a157	3	R
Barboni_a158	3	R
Barboni_a159	3	R
Barboni_a16	3	R
Barboni_a16	185	
Barboni_a160	3	R
Barboni_a161	3	R
Barboni_a162	3	R
Barboni_a163	3	R
Barboni_a164	3	R
Barboni_a165	3	R
Barboni_a166	3	R
Barboni_a167	3	R
Barboni_a168	3	R
Barboni_a169	3	R
Barboni_a17	3	R
Barboni_a17	185	
Barboni_a170	3	R
Barboni_a171	3	R
Barboni_a172	3	R
Barboni_a173	3	R
Barboni_a174	3	R
Barboni_a175	3	R
Barboni_a176	3	R
Barboni_a177	3	R
Barboni_a178	3	R
Barboni_a179	3	R
Barboni_a18	3	R
Barboni_a18	178	
Barboni_a180	3	R
Barboni_a181	3	R
Barboni_a182	3	R
Barboni_a183	3	R
Barboni_a184	3	R
Barboni_a185	3	R
Barboni_a186	3	R
Barboni_a187	3	R
Barboni_a188	3	R
Barboni_a189	3	R
Barboni_a19	3	R
Barboni_a19	178	
Barboni_a190	3	R
Barboni_a191	3	R
Barboni_a192	3	R
Barboni_a193	3	R
Barboni_a194	3	R
Barboni_a195	3	R
Barboni_a195	185	
